smiles,rt,filename,canonical_smiles,mol_idx,mol_id
C1=CC(=C(C=C1C2=CC(=O)C3=C(C=C(C=C3O2)OC4C(C(C(C(O4)CO)O)O)O)O)O)O,19.73,0001_rtdata.tsv,O=c1cc(-c2ccc(O)c(O)c2)oc2cc(OC3OC(CO)C(O)C(O)C3O)cc(O)c12,20,M00020
COC(=O)C1=CC(=C(C(=C1)O)O)O,10.73,0001_rtdata.tsv,COC(=O)c1cc(O)c(O)c(O)c1,21,M00021
C1=C(C=C(C(=C1O)O)O)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O,20.46,0001_rtdata.tsv,O=c1c(O)c(-c2cc(O)c(O)c(O)c2)oc2cc(O)cc(O)c12,22,M00022
C1C(OC2=CC(=CC(=C2C1=O)O)O)C3=CC=C(C=C3)O,21.04,0001_rtdata.tsv,O=C1CC(c2ccc(O)cc2)Oc2cc(O)cc(O)c21,23,M00023
C1C(OC2=CC(=CC(=C2C1=O)O)OC3C(C(C(C(O3)CO)O)O)O)C4=CC=C(C=C4)O,19.53,0001_rtdata.tsv,O=C1CC(c2ccc(O)cc2)Oc2cc(OC3OC(CO)C(O)C(O)C3O)cc(O)c21,24,M00024
C1=CC=C(C(=C1)C=CC(=O)O)O,19.73,0001_rtdata.tsv,O=C(O)C=Cc1ccccc1O,25,M00025
COC1=CC(=CC(=C1O)OC)C2=C(C3=C4C(=CC(=O)C=C4O2)OC(=C3)O)OC5C(C(C(C(O5)CO)O)O)O,20.67482759,0001_rtdata.tsv,COc1cc(-c2oc3cc(=O)cc4oc(O)cc(c2OC2OC(CO)C(O)C(O)C2O)c43)cc(OC)c1O,26,M00026
C1=CC(=CC=C1C2C3C(C(C4=C3C=C(C=C4O)O)C5=CC=C(C=C5)O)C6=C2C(=CC(=C6)O)O)O,17.57,0001_rtdata.tsv,Oc1ccc(C2c3c(O)cc(O)cc3C3C(c4ccc(O)cc4)c4c(O)cc(O)cc4C23)cc1,27,M00027
C1=CC(=CC=C1CCC(=O)C2=C(C=C(C=C2OC3C(C(C(C(O3)CO)O)O)O)O)O)O,20.21,0001_rtdata.tsv,O=C(CCc1ccc(O)cc1)c1c(O)cc(O)cc1OC1OC(CO)C(O)C(O)C1O,28,M00028
C1=CC(=CC=C1CCC(=O)C2=C(C=C(C=C2O)O)O)O,21.06,0001_rtdata.tsv,O=C(CCc1ccc(O)cc1)c1c(O)cc(O)cc1O,29,M00029
C1=CC(=C(C=C1C=CC2=CC(=CC(=C2)O)O)O)O,17.88,0001_rtdata.tsv,Oc1cc(O)cc(C=Cc2ccc(O)c(O)c2)c1,30,M00030
C1C(C(OC2=C1C(=CC(=C2C3C(C(OC4=CC(=CC(=C34)O)O)C5=CC(=C(C=C5)O)O)O)O)O)C6=CC(=C(C=C6)O)O)O,9.66,0001_rtdata.tsv,Oc1cc(O)c2c(c1)OC(c1ccc(O)c(O)c1)C(O)C2c1c(O)cc(O)c2c1OC(c1ccc(O)c(O)c1)C(O)C2,31,M00031
COC1=CC(=CC(=C1)C=CC2=CC=C(C=C2)O)OC,21.89,0001_rtdata.tsv,COc1cc(C=Cc2ccc(O)cc2)cc(OC)c1,32,M00032
C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)OC4C(C(C(C(O4)CO)O)O)O)O)OC5C(C(C(C(O5)CO)O)O)O,17.38,0001_rtdata.tsv,O=c1c(OC2OC(CO)C(O)C(O)C2O)c(-c2ccc(OC3OC(CO)C(O)C(O)C3O)c(O)c2)oc2cc(O)cc(O)c12,33,M00033
C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)OC4C(C(C(C(O4)C(=O)O)O)O)O)O)O,19.91,0001_rtdata.tsv,O=C(O)C1OC(Oc2c(-c3ccc(O)c(O)c3)oc3cc(O)cc(O)c3c2=O)C(O)C(O)C1O,34,M00034
C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)OC4C(C(C(C(O4)CO)O)O)O,20.37,0001_rtdata.tsv,O=c1c(O)c(-c2ccc(OC3OC(CO)C(O)C(O)C3O)c(O)c2)oc2cc(O)cc(O)c12,35,M00035
C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)OS(=O)(=O)O)O)O,20.11,0001_rtdata.tsv,O=c1c(OS(=O)(=O)O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,36,M00036
C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)OC4C(C(C(O4)C(CO)O)O)O)O)O,20.0,0001_rtdata.tsv,O=c1c(OC2OC(C(O)CO)C(O)C2O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,37,M00037
CC1C(C(C(C(O1)OCC2C(C(C(C(O2)OC3=C(OC4=CC(=CC(=C4C3=O)O)O)C5=CC(=C(C=C5)O)O)O)O)O)O)O)O,20.0,0001_rtdata.tsv,CC1OC(OCC2OC(Oc3c(-c4ccc(O)c(O)c4)oc4cc(O)cc(O)c4c3=O)C(O)C(O)C2O)C(O)C(O)C1O,38,M00038
COC1=CC(=CC(=C1O)OC)C(=O)O,13.78,0001_rtdata.tsv,COc1cc(C(=O)O)cc(OC)c1O,39,M00039
C1=CC(=C(C=C1C2C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O,16.82,0001_rtdata.tsv,O=C1c2c(O)cc(O)cc2OC(c2ccc(O)c(O)c2)C1O,40,M00040
C1=CC(=CC=C1C=CC(=O)OC(C(C(=O)O)O)C(=O)O)O,10.7,0001_rtdata.tsv,O=C(C=Cc1ccc(O)cc1)OC(C(=O)O)C(O)C(=O)O,41,M00041
C1=CC(=CC=C1CCC(=O)C2=C(C=C(C(=C2O)C3C(C(C(C(O3)CO)O)O)O)O)O)O,20.75625,0001_rtdata.tsv,O=C(CCc1ccc(O)cc1)c1c(O)cc(O)c(C2OC(CO)C(O)C(O)C2O)c1O,42,M00042
COC1=CC(=C2C(=C1)OC(=C(C2=O)O)C3=CC(=C(C=C3)O)OC)O,20.59,0001_rtdata.tsv,COc1cc(O)c2c(=O)c(O)c(-c3ccc(O)c(OC)c3)oc2c1,43,M00043
CC1C(C(C(C(O1)OC2C(C(C(OC2OC3=CC(=C4C(=O)CC(OC4=C3)C5=CC=C(C=C5)O)O)CO)O)O)O)O)O,21.96,0001_rtdata.tsv,CC1OC(OC2C(Oc3cc(O)c4c(c3)OC(c3ccc(O)cc3)CC4=O)OC(CO)C(O)C2O)C(O)C(O)C1O,44,M00044
CCOC1=CC=C(C=C1)NC(=O)C,19.35,0001_rtdata.tsv,CCOc1ccc(NC(C)=O)cc1,45,M00045
COC1C(C(C(C(O1)C(=O)O)O)O)O,19.86,0001_rtdata.tsv,COC1OC(C(=O)O)C(O)C(O)C1O,46,M00046
COC(=O)C1=COC(C2C1CC=C2CO)O,2.43,0001_rtdata.tsv,COC(=O)C1=COC(O)C2C(CO)=CCC12,47,M00047
COC1=CC(=CC(=C1O)OC)C2=C(C3=C4C(=CC(=O)C=C4OC(=C3C=[OH+])O)O2)OC5C(C(C(C(O5)CO)O)O)O,19.30034483,0001_rtdata.tsv,COc1cc(-c2oc3cc(=O)cc4oc(O)c(C=[OH+])c(c2OC2OC(CO)C(O)C(O)C2O)c43)cc(OC)c1O,48,M00048
C1=CC(=CC=C1C2C(C3=C(C=C(C=C3O2)O)C=CC4=CC5=C(C=C4)OC(C5C6=C7C(C(OC7=CC(=C6)O)C8=CC=C(C=C8)O)C9=CC(=CC(=C9)O)O)C1=CC=C(C=C1)O)C1=CC(=CC(=C1)O)O)O,18.3487931,0001_rtdata.tsv,Oc1ccc(C2Oc3ccc(C=Cc4cc(O)cc5c4C(c4cc(O)cc(O)c4)C(c4ccc(O)cc4)O5)cc3C2c2cc(O)cc3c2C(c2cc(O)cc(O)c2)C(c2ccc(O)cc2)O3)cc1,49,M00049
CC1=CC2=C3C(=CC(=O)C=C3OC(=C2OC4C(C(C(C(O4)CO)O)O)O)C5=CC(=C(C(=C5)OC)O)OC)O1,19.74327586,0001_rtdata.tsv,COc1cc(-c2oc3cc(=O)cc4oc(C)cc(c2OC2OC(CO)C(O)C(O)C2O)c43)cc(OC)c1O,50,M00050
C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C(=C3)O)O)O)OC(=O)C4=CC(=C(C(=C4)O)O)O,12.73,0001_rtdata.tsv,O=C(OC1Cc2c(O)cc(O)cc2OC1c1cc(O)c(O)c(O)c1)c1cc(O)c(O)c(O)c1,51,M00051
C1=CC(=C(C=C1C(=O)O)O)O,7.77,0001_rtdata.tsv,O=C(O)c1ccc(O)c(O)c1,52,M00052
C1C(C(OC2=C1C(=CC3=C2C(CC(=O)O3)C4=CC(=C(C=C4)O)O)O)C5=CC(=C(C=C5)O)O)O,17.82,0001_rtdata.tsv,O=C1CC(c2ccc(O)c(O)c2)c2c(cc(O)c3c2OC(c2ccc(O)c(O)c2)C(O)C3)O1,53,M00053
CCOC(=O)C1=CC(=C(C(=C1)O)O)O,15.16,0001_rtdata.tsv,CCOC(=O)c1cc(O)c(O)c(O)c1,54,M00054
C1=CC(=CC=C1C2C(C3=C4C(C(OC4=CC(=C3)O)C5=CC=C(C=C5)O)C6=C2C(=CC(=C6)O)O)C7C(C8=C(C=C(C=C8O)O)C9C(OC1=CC(=CC7=C91)O)C1=CC=C(C=C1)O)C1=CC=C(C=C1)O)O,10.7,0001_rtdata.tsv,Oc1ccc(C2Oc3cc(O)cc4c3C2c2cc(O)cc(O)c2C(c2ccc(O)cc2)C4C2c3cc(O)cc4c3C(c3cc(O)cc(O)c3C2c2ccc(O)cc2)C(c2ccc(O)cc2)O4)cc1,55,M00055
C(CC(C(=O)O)N)CN=C(N)N,1.2425,0001_rtdata.tsv,NC(N)=NCCCC(N)C(=O)O,56,M00056
C(C(C(=O)O)O)(C(=O)O)O,1.46,0001_rtdata.tsv,O=C(O)C(O)C(O)C(=O)O,57,M00057
C1C(C(C(CC1(C(=O)O)O)O)O)O,1.58,0001_rtdata.tsv,O=C(O)C1(O)CC(O)C(O)C(O)C1,58,M00058
C(CC(=O)O)C(=O)O,3.94,0001_rtdata.tsv,O=C(O)CCC(=O)O,59,M00059
CCC(=O)O,3.95,0001_rtdata.tsv,CCC(=O)O,60,M00060
CC(CC(=O)O)(C(=O)O)O,4.02,0001_rtdata.tsv,CC(O)(CC(=O)O)C(=O)O,61,M00061
C1=CC(=CC=C1CC(C(=O)O)N)O,4.28,0001_rtdata.tsv,NC(Cc1ccc(O)cc1)C(=O)O,62,M00062
CCC(C)C(C(=O)O)N,4.44,0001_rtdata.tsv,CCC(C)C(N)C(=O)O,63,M00063
C[N+](C)(C)CCO,1.294827586,0001_rtdata.tsv,C[N+](C)(C)CCO,64,M00064
C[N+](C)(C)CC(=O)[O-],1.340862069,0001_rtdata.tsv,C[N+](C)(C)CC(=O)[O-],65,M00065
CC(C)C(C(=O)O)N,1.340862069,0001_rtdata.tsv,CC(C)C(N)C(=O)O,66,M00066
C1CC(NC1)C(=O)O,1.510344828,0001_rtdata.tsv,O=C(O)C1CCCN1,67,M00067
C(CC(=O)NC(CS)C(=O)NCC(=O)O)C(C(=O)O)N,1.696551724,0001_rtdata.tsv,NC(CCC(=O)NC(CS)C(=O)NCC(=O)O)C(=O)O,68,M00068
C1=CNC(=O)NC1=O,2.337068966,0001_rtdata.tsv,O=c1cc[nH]c(=O)[nH]1,69,M00069
C12=C(NC(=O)N1)NC(=O)NC2=O,3.442586207,0001_rtdata.tsv,O=c1[nH]c(=O)c2[nH]c(=O)[nH]c2[nH]1,70,M00070
C1=NC2=C(N1)C(=O)NC(=O)N2,3.966206897,0001_rtdata.tsv,O=c1[nH]c(=O)c2[nH]cnc2[nH]1,71,M00071
C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O,20.465,0002_rtdata.tsv,Oc1cc(O)c2c(c1)OC(c1ccc(O)c(O)c1)C(O)C2,0,M00000
C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)OC(=O)C4=CC(=C(C(=C4)O)O)O,24.86,0002_rtdata.tsv,O=C(OC1Cc2c(O)cc(O)cc2OC1c1ccc(O)c(O)c1)c1cc(O)c(O)c(O)c1,1,M00001
C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C(=C3)O)O)O)O,16.505,0002_rtdata.tsv,Oc1cc(O)c2c(c1)OC(c1cc(O)c(O)c(O)c1)C(O)C2,2,M00002
C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C(=C3)O)O)O)OC(=O)C4=CC(=C(C(=C4)O)O)O,22.2925,0002_rtdata.tsv,O=C(OC1Cc2c(O)cc(O)cc2OC1c1cc(O)c(O)c(O)c1)c1cc(O)c(O)c(O)c1,51,M00051
C1=C(C=C(C=C1O)O)C(=O)O,14.3,0002_rtdata.tsv,O=C(O)c1cc(O)cc(O)c1,3,M00003
C1=CC(=CC=C1C(=O)O)O,17.48,0002_rtdata.tsv,O=C(O)c1ccc(O)cc1,4,M00004
C1=CC(=C(C=C1C=CC2=CC(=CC(=C2)OC3C(C(C(C(O3)CO)O)O)O)O)O)O,22.7,0002_rtdata.tsv,OCC1OC(Oc2cc(O)cc(C=Cc3ccc(O)c(O)c3)c2)C(O)C(O)C1O,5,M00005
C1C(C(OC2=C1C(=CC3=C2C(CC(=O)O3)C4=CC(=C(C=C4)O)O)O)C5=CC(=C(C=C5)O)O)O,26.09,0002_rtdata.tsv,O=C1CC(c2ccc(O)c(O)c2)c2c(cc(O)c3c2OC(c2ccc(O)c(O)c2)C(O)C3)O1,53,M00053
C1=CC(=C(C=C1C=CC(=O)OC(C(C(=O)O)O)C(=O)O)O)O,15.5,0002_rtdata.tsv,O=C(C=Cc1ccc(O)c(O)c1)OC(C(=O)O)C(O)C(=O)O,6,M00006
C1=CC(=CC=C1C=CC2=C3C(C(OC3=CC(=C2)O)C4=CC=C(C=C4)O)C5=CC(=CC(=C5)O)O)O,33.46,0002_rtdata.tsv,Oc1ccc(C=Cc2cc(O)cc3c2C(c2cc(O)cc(O)c2)C(c2ccc(O)cc2)O3)cc1,72,M00072
C1=CC(=CC=C1C=CC2=CC(=CC(=C2)OC3C(C(C(C(O3)CO)O)O)O)O)O,27.25,0002_rtdata.tsv,OCC1OC(Oc2cc(O)cc(C=Cc3ccc(O)cc3)c2)C(O)C(O)C1O,7,M00007
C1=CC(=CC=C1C=CC2=CC(=CC(=C2)O)O)O,30.35,0002_rtdata.tsv,Oc1ccc(C=Cc2cc(O)cc(O)c2)cc1,8,M00008
C1=C2C3=C(C(=C1O)O)OC(=O)C4=CC(=C(C(=C43)OC2=O)O)O,30.2,0002_rtdata.tsv,O=c1oc2c(O)c(O)cc3c(=O)oc4c(O)c(O)cc1c4c23,9,M00009
C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC=C(C=C3)O)O,24.37,0002_rtdata.tsv,Oc1ccc(C2Oc3cc(O)cc(O)c3CC2O)cc1,10,M00010
C1=CC(=O)OC2=CC(=C(C=C21)O)O,20.13,0002_rtdata.tsv,O=c1ccc2cc(O)c(O)cc2o1,11,M00011
COC1=C(C=CC(=C1)C=CC(=O)OC(C(C(=O)O)O)C(=O)O)O,19.5,0002_rtdata.tsv,COc1cc(C=CC(=O)OC(C(=O)O)C(O)C(=O)O)ccc1O,12,M00012
COC1=C(C(=C2C(=C1)C=CC(=O)O2)OC3C(C(C(C(O3)CO)O)O)O)O,20.87,0002_rtdata.tsv,COc1cc2ccc(=O)oc2c(OC2OC(CO)C(O)C(O)C2O)c1O,13,M00013
COC1=C(C=C(C=C1)C2CC(=O)C3=C(C=C(C=C3O2)O)O)O,34.78,0002_rtdata.tsv,COc1ccc(C2CC(=O)c3c(O)cc(O)cc3O2)cc1O,14,M00014
C1=CC(=CC=C1C2C(C3=C4C(C(OC4=CC(=C3)O)C5=CC=C(C=C5)O)C6=C2C(=CC(=C6)O)O)C7C(C8=C(C=C(C=C8O)O)C9C(OC1=CC(=CC7=C91)O)C1=CC=C(C=C1)O)C1=CC=C(C=C1)O)O,25.89,0002_rtdata.tsv,Oc1ccc(C2Oc3cc(O)cc4c3C2c2cc(O)cc(O)c2C(c2ccc(O)cc2)C4C2c3cc(O)cc4c3C(c3cc(O)cc(O)c3C2c2ccc(O)cc2)C(c2ccc(O)cc2)O4)cc1,55,M00055
COC1=C(C=CC(=C1)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)OC4C(C(C(C(O4)CO)O)O)O)O,31.53,0002_rtdata.tsv,COc1cc(-c2oc3cc(O)cc(O)c3c(=O)c2OC2OC(CO)C(O)C(O)C2O)ccc1O,15,M00015
CC1C(C(C(C(O1)OCC2C(C(C(C(O2)OC3=C(OC4=CC(=CC(=C4C3=O)O)O)C5=CC(=C(C=C5)O)OC)O)O)O)O)O)O,31.7,0002_rtdata.tsv,COc1cc(-c2oc3cc(O)cc(O)c3c(=O)c2OC2OC(COC3OC(C)C(O)C(O)C3O)C(O)C(O)C2O)ccc1O,16,M00016
COC1=C(C=CC(=C1)C=CC2=CC(=CC(=C2)OC3C(C(C(C(O3)CO)O)O)O)O)O,26.13,0002_rtdata.tsv,COc1cc(C=Cc2cc(O)cc(OC3OC(CO)C(O)C(O)C3O)c2)ccc1O,17,M00017
C1=CC(=CC=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)OC4C(C(C(C(O4)CO)O)O)O)O,31.25,0002_rtdata.tsv,O=c1c(OC2OC(CO)C(O)C(O)C2O)c(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,18,M00018
CC1C(C(C(C(O1)OCC2C(C(C(C(O2)OC3=C(OC4=CC(=CC(=C4C3=O)O)O)C5=CC=C(C=C5)O)O)O)O)O)O)O,31.35,0002_rtdata.tsv,CC1OC(OCC2OC(Oc3c(-c4ccc(O)cc4)oc4cc(O)cc(O)c4c3=O)C(O)C(O)C2O)C(O)C(O)C1O,19,M00019
C1=CC(=C(C=C1C2=CC(=O)C3=C(C=C(C=C3O2)OC4C(C(C(C(O4)CO)O)O)O)O)O)O,28.06,0002_rtdata.tsv,O=c1cc(-c2ccc(O)c(O)c2)oc2cc(OC3OC(CO)C(O)C(O)C3O)cc(O)c12,20,M00020
COC(=O)C1=CC(=C(C(=C1)O)O)O,18.2,0002_rtdata.tsv,COC(=O)c1cc(O)c(O)c(O)c1,21,M00021
C1=C(C=C(C(=C1O)O)O)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O,30.89,0002_rtdata.tsv,O=c1c(O)c(-c2cc(O)c(O)c(O)c2)oc2cc(O)cc(O)c12,22,M00022
C1C(OC2=CC(=CC(=C2C1=O)O)O)C3=CC=C(C=C3)O,33.75,0002_rtdata.tsv,O=C1CC(c2ccc(O)cc2)Oc2cc(O)cc(O)c21,23,M00023
C1C(OC2=CC(=CC(=C2C1=O)O)OC3C(C(C(C(O3)CO)O)O)O)C4=CC=C(C=C4)O,27.94,0002_rtdata.tsv,O=C1CC(c2ccc(O)cc2)Oc2cc(OC3OC(CO)C(O)C(O)C3O)cc(O)c21,24,M00024
C1=CC=C(C(=C1)C=CC(=O)O)O,28.05,0002_rtdata.tsv,O=C(O)C=Cc1ccccc1O,25,M00025
COC1=CC(=CC(=C1O)OC)C2=C(C3=C4C(=CC(=O)C=C4O2)OC(=C3)O)OC5C(C(C(C(O5)CO)O)O)O,33.21,0002_rtdata.tsv,COc1cc(-c2oc3cc(=O)cc4oc(O)cc(c2OC2OC(CO)C(O)C(O)C2O)c43)cc(OC)c1O,26,M00026
C1=CC(=CC=C1C2C3C(C(C4=C3C=C(C=C4O)O)C5=CC=C(C=C5)O)C6=C2C(=CC(=C6)O)O)O,25.92,0002_rtdata.tsv,Oc1ccc(C2c3c(O)cc(O)cc3C3C(c4ccc(O)cc4)c4c(O)cc(O)cc4C23)cc1,27,M00027
C1=CC(=CC=C1CCC(=O)C2=C(C=C(C=C2OC3C(C(C(C(O3)CO)O)O)O)O)O)O,29.6,0002_rtdata.tsv,O=C(CCc1ccc(O)cc1)c1c(O)cc(O)cc1OC1OC(CO)C(O)C(O)C1O,28,M00028
C1=CC(=C(C=C1C=CC2=CC(=CC(=C2)O)O)O)O,26.54,0002_rtdata.tsv,Oc1cc(O)cc(C=Cc2ccc(O)c(O)c2)c1,30,M00030
C1C(C(OC2=C1C(=CC(=C2C3C(C(OC4=CC(=CC(=C34)O)O)C5=CC(=C(C=C5)O)O)O)O)O)C6=CC(=C(C=C6)O)O)O,18.1425,0002_rtdata.tsv,Oc1cc(O)c2c(c1)OC(c1ccc(O)c(O)c1)C(O)C2c1c(O)cc(O)c2c1OC(c1ccc(O)c(O)c1)C(O)C2,31,M00031
COC1=CC(=CC(=C1)C=CC2=CC=C(C=C2)O)OC,41.38,0002_rtdata.tsv,COc1cc(C=Cc2ccc(O)cc2)cc(OC)c1,32,M00032
C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)OC4C(C(C(C(O4)CO)O)O)O)O)OC5C(C(C(C(O5)CO)O)O)O,26.07,0002_rtdata.tsv,O=c1c(OC2OC(CO)C(O)C(O)C2O)c(-c2ccc(OC3OC(CO)C(O)C(O)C3O)c(O)c2)oc2cc(O)cc(O)c12,33,M00033
C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)OC4C(C(C(C(O4)C(=O)O)O)O)O)O)O,28.45,0002_rtdata.tsv,O=C(O)C1OC(Oc2c(-c3ccc(O)c(O)c3)oc3cc(O)cc(O)c3c2=O)C(O)C(O)C1O,34,M00034
C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)OC4C(C(C(C(O4)CO)O)O)O,30.4,0002_rtdata.tsv,O=c1c(O)c(-c2ccc(OC3OC(CO)C(O)C(O)C3O)c(O)c2)oc2cc(O)cc(O)c12,35,M00035
C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)OS(=O)(=O)O)O)O,27.4,0002_rtdata.tsv,O=c1c(OS(=O)(=O)O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,36,M00036
C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)OC4C(C(C(O4)C(CO)O)O)O)O)O,29.1,0002_rtdata.tsv,O=c1c(OC2OC(C(O)CO)C(O)C2O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,37,M00037
CC1C(C(C(C(O1)OCC2C(C(C(C(O2)OC3=C(OC4=CC(=CC(=C4C3=O)O)O)C5=CC(=C(C=C5)O)O)O)O)O)O)O)O,29.1,0002_rtdata.tsv,CC1OC(OCC2OC(Oc3c(-c4ccc(O)c(O)c4)oc4cc(O)cc(O)c4c3=O)C(O)C(O)C2O)C(O)C(O)C1O,38,M00038
