anchor_idx,positive_idx,anchor,positive,anchor_smiles,positive_smiles,type,morgan_similarity,maccs_similarity,same_scaffold,scaffold,scaffold_size,scaffold_specificity,relation_score,rank_within_type,contrastive_weight
7,17,M00007,M00017,OCC1OC(Oc2cc(O)cc(C=Cc3ccc(O)cc3)c2)C(O)C(O)C1O,COc1cc(C=Cc2cc(O)cc(OC3OC(CO)C(O)C(O)C3O)c2)ccc1O,medium,0.7307692307692307,0.918918918918919,1,C(=Cc1cccc(OC2CCCCO2)c1)c1ccccc1,4,0.8795051323147839,0.8001170380384858,1,0.8001170380384858
7,1206,M00007,M01206,OCC1OC(Oc2cc(O)cc(C=Cc3ccc(O)cc3)c2)C(O)C(O)C1O,O=C(O)C1OC(Oc2cc(O)cc(C=Cc3ccc(O)cc3)c2)C(O)C(O)C1O,medium,0.673469387755102,0.7714285714285715,1,C(=Cc1cccc(OC2CCCCO2)c1)c1ccccc1,4,0.8795051323147839,0.7288645453574216,2,0.7288645453574216
8,30,M00008,M00030,Oc1ccc(C=Cc2cc(O)cc(O)c2)cc1,Oc1cc(O)cc(C=Cc2ccc(O)c(O)c2)c1,medium,0.64,0.782608695652174,1,C(=Cc1ccccc1)c1ccccc1,9,0.7883542836784342,0.6979053164648086,1,0.6979053164648086
8,32,M00008,M00032,Oc1ccc(C=Cc2cc(O)cc(O)c2)cc1,COc1cc(C=Cc2ccc(O)cc2)cc(OC)c1,medium,0.6296296296296297,0.7272727272727273,1,C(=Cc1ccccc1)c1ccccc1,9,0.7883542836784342,0.6778491021477248,2,0.6778491021477248
10,0,M00010,M00000,Oc1ccc(C2Oc3cc(O)cc(O)c3CC2O)cc1,Oc1cc(O)c2c(c1)OC(c1ccc(O)c(O)c1)C(O)C2,medium,0.7894736842105263,0.967741935483871,1,c1ccc(C2CCc3ccccc3O2)cc1,6,0.8352580650673657,0.8409084041573883,1,0.8409084041573883
10,2,M00010,M00002,Oc1ccc(C2Oc3cc(O)cc(O)c3CC2O)cc1,Oc1cc(O)c2c(c1)OC(c1cc(O)c(O)c(O)c1)C(O)C2,medium,0.7368421052631579,0.967741935483871,1,c1ccc(C2CCc3ccccc3O2)cc1,6,0.8352580650673657,0.8093294567889674,2,0.8093294567889674
11,362,M00011,M00362,O=c1ccc2cc(O)c(O)cc2o1,COc1cc2ccc(=O)oc2cc1O,medium,0.65625,0.8387096774193549,1,O=c1ccc2ccccc2o1,15,0.7265474540909509,0.7124095374684813,1,0.7124095374684813
11,390,M00011,M00390,O=c1ccc2cc(O)c(O)cc2o1,O=c1ccc2ccc(O)cc2o1,medium,0.6428571428571429,0.7857142857142857,1,O=c1ccc2ccccc2o1,15,0.7265474540909509,0.6911249752564999,2,0.6911249752564999
12,6,M00012,M00006,COc1cc(C=CC(=O)OC(C(=O)O)C(O)C(=O)O)ccc1O,O=C(C=Cc1ccc(O)c(O)c1)OC(C(=O)O)C(O)C(=O)O,medium,0.75,0.9259259259259259,1,c1ccccc1,802,0.21161295934610674,0.7132234253833974,1,0.7132234253833974
12,41,M00012,M00041,COc1cc(C=CC(=O)OC(C(=O)O)C(O)C(=O)O)ccc1O,O=C(C=Cc1ccc(O)cc1)OC(C(=O)O)C(O)C(=O)O,medium,0.6444444444444445,0.8518518518518519,1,c1ccccc1,802,0.21161295934610674,0.6313715735315456,2,0.6313715735315456
14,1235,M00014,M01235,COc1ccc(C2CC(=O)c3c(O)cc(O)cc3O2)cc1O,COc1cc(C2CC(=O)c3c(O)cc(O)cc3O2)ccc1O,strong,0.8260869565217391,1.0,1,O=C1CC(c2ccccc2)Oc2ccccc21,16,0.7185751418868361,0.8534384451960689,1,0.8534384451960689
14,1242,M00014,M01242,COc1ccc(C2CC(=O)c3c(O)cc(O)cc3O2)cc1O,COc1ccc(C2CC(=O)c3c(O)cc(O)cc3O2)cc1,medium,0.7446808510638298,0.9393939393939394,1,O=C1CC(c2ccccc2)Oc2ccccc21,16,0.7185751418868361,0.7894432667698081,1,0.7894432667698081
14,190,M00014,M00190,COc1ccc(C2CC(=O)c3c(O)cc(O)cc3O2)cc1O,O=C1CC(c2ccc(O)c(O)c2)Oc2cc(O)cc(O)c21,medium,0.7333333333333333,0.8823529411764706,1,O=C1CC(c2ccccc2)Oc2ccccc21,16,0.7185751418868361,0.768374506577143,2,0.768374506577143
15,377,M00015,M00377,COc1cc(-c2oc3cc(O)cc(O)c3c(=O)c2OC2OC(CO)C(O)C(O)C2O)ccc1O,COc1cc(-c2oc3cc(O)cc(O)c3c(=O)c2OC2OC(CO)C(O)C(O)C2O)cc(OC)c1O,strong,0.8524590163934426,0.9761904761904762,1,O=c1c(OC2CCCCO2)c(-c2ccccc2)oc2ccccc12,12,0.7538526280001345,0.8686009230837048,1,0.8686009230837048
15,350,M00015,M00350,COc1cc(-c2oc3cc(O)cc(O)c3c(=O)c2OC2OC(CO)C(O)C(O)C2O)ccc1O,O=c1c(OC2OC(CO)C(O)C(O)C2O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,strong,0.819672131147541,0.9512195121951219,1,O=c1c(OC2CCCCO2)c(-c2ccccc2)oc2ccccc12,12,0.7538526280001345,0.8426860509373253,2,0.8426860509373253
15,33,M00015,M00033,COc1cc(-c2oc3cc(O)cc(O)c3c(=O)c2OC2OC(CO)C(O)C(O)C2O)ccc1O,O=c1c(OC2OC(CO)C(O)C(O)C2O)c(-c2ccc(OC3OC(CO)C(O)C(O)C3O)c(O)c2)oc2cc(O)cc(O)c12,strong,0.8064516129032258,0.9285714285714286,0,,0,0.0,0.7160138248847926,3,0.7160138248847926
15,18,M00015,M00018,COc1cc(-c2oc3cc(O)cc(O)c3c(=O)c2OC2OC(CO)C(O)C(O)C2O)ccc1O,O=c1c(OC2OC(CO)C(O)C(O)C2O)c(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,medium,0.7868852459016393,0.9512195121951219,1,O=c1c(OC2CCCCO2)c(-c2ccccc2)oc2ccccc12,12,0.7538526280001345,0.8230139197897841,1,0.8230139197897841
15,351,M00015,M00351,COc1cc(-c2oc3cc(O)cc(O)c3c(=O)c2OC2OC(CO)C(O)C(O)C2O)ccc1O,CC(=O)OCC1OC(Oc2c(-c3ccc(O)c(O)c3)oc3cc(O)cc(O)c3c2=O)C(O)C(O)C1O,medium,0.6714285714285714,0.9069767441860465,1,O=c1c(OC2CCCCO2)c(-c2ccccc2)oc2ccccc12,12,0.7538526280001345,0.7426792231036745,2,0.7426792231036745
16,38,M00016,M00038,COc1cc(-c2oc3cc(O)cc(O)c3c(=O)c2OC2OC(COC3OC(C)C(O)C(O)C3O)C(O)C(O)C2O)ccc1O,CC1OC(OCC2OC(Oc3c(-c4ccc(O)c(O)c4)oc4cc(O)cc(O)c4c3=O)C(O)C(O)C2O)C(O)C(O)C1O,strong,0.8529411764705882,0.9512195121951219,1,O=c1c(OC2CCCC(COC3CCCCO3)O2)c(-c2ccccc2)oc2ccccc12,4,0.8795051323147839,0.881495353778351,1,0.881495353778351
16,19,M00016,M00019,COc1cc(-c2oc3cc(O)cc(O)c3c(=O)c2OC2OC(COC3OC(C)C(O)C(O)C3O)C(O)C(O)C2O)ccc1O,CC1OC(OCC2OC(Oc3c(-c4ccc(O)cc4)oc4cc(O)cc(O)c4c3=O)C(O)C(O)C2O)C(O)C(O)C1O,strong,0.8235294117647058,0.9512195121951219,1,O=c1c(OC2CCCC(COC3CCCCO3)O2)c(-c2ccccc2)oc2ccccc12,4,0.8795051323147839,0.8638482949548216,2,0.8638482949548216
16,326,M00016,M00326,COc1cc(-c2oc3cc(O)cc(O)c3c(=O)c2OC2OC(COC3OC(C)C(O)C(O)C3O)C(O)C(O)C2O)ccc1O,O=c1c(OC2OC(COC3OCC(O)C(O)C3O)C(O)C(O)C2O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,medium,0.6710526315789473,0.8636363636363636,1,O=c1c(OC2CCCC(COC3CCCCO3)O2)c(-c2ccccc2)oc2ccccc12,4,0.8795051323147839,0.7504664397036769,1,0.7504664397036769
17,5,M00017,M00005,COc1cc(C=Cc2cc(O)cc(OC3OC(CO)C(O)C(O)C3O)c2)ccc1O,OCC1OC(Oc2cc(O)cc(C=Cc3ccc(O)c(O)c3)c2)C(O)C(O)C1O,medium,0.7884615384615384,0.9459459459459459,1,C(=Cc1cccc(OC2CCCCO2)c1)c1ccccc1,4,0.8795051323147839,0.8414891794106272,1,0.8414891794106272
17,7,M00017,M00007,COc1cc(C=Cc2cc(O)cc(OC3OC(CO)C(O)C(O)C3O)c2)ccc1O,OCC1OC(Oc2cc(O)cc(C=Cc3ccc(O)cc3)c2)C(O)C(O)C1O,medium,0.7307692307692307,0.918918918918919,1,C(=Cc1cccc(OC2CCCCO2)c1)c1ccccc1,4,0.8795051323147839,0.8001170380384858,2,0.8001170380384858
18,350,M00018,M00350,O=c1c(OC2OC(CO)C(O)C(O)C2O)c(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,O=c1c(OC2OC(CO)C(O)C(O)C2O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,strong,0.8571428571428571,1.0,1,O=c1c(OC2CCCCO2)c(-c2ccccc2)oc2ccccc12,12,0.7538526280001345,0.8773636084857344,1,0.8773636084857344
18,33,M00018,M00033,O=c1c(OC2OC(CO)C(O)C(O)C2O)c(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,O=c1c(OC2OC(CO)C(O)C(O)C2O)c(-c2ccc(OC3OC(CO)C(O)C(O)C3O)c(O)c2)oc2cc(O)cc(O)c12,strong,0.8421052631578947,0.975,0,,0,0.0,0.7490131578947368,2,0.7490131578947368
18,15,M00018,M00015,O=c1c(OC2OC(CO)C(O)C(O)C2O)c(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,COc1cc(-c2oc3cc(O)cc(O)c3c(=O)c2OC2OC(CO)C(O)C(O)C2O)ccc1O,medium,0.7868852459016393,0.9512195121951219,1,O=c1c(OC2CCCCO2)c(-c2ccccc2)oc2ccccc12,12,0.7538526280001345,0.8230139197897841,1,0.8230139197897841
18,377,M00018,M00377,O=c1c(OC2OC(CO)C(O)C(O)C2O)c(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,COc1cc(-c2oc3cc(O)cc(O)c3c(=O)c2OC2OC(CO)C(O)C(O)C2O)cc(OC)c1O,medium,0.7666666666666667,0.9285714285714286,1,O=c1c(OC2CCCCO2)c(-c2ccccc2)oc2ccccc12,12,0.7538526280001345,0.8052207513428773,2,0.8052207513428773
19,38,M00019,M00038,CC1OC(OCC2OC(Oc3c(-c4ccc(O)cc4)oc4cc(O)cc(O)c4c3=O)C(O)C(O)C2O)C(O)C(O)C1O,CC1OC(OCC2OC(Oc3c(-c4ccc(O)c(O)c4)oc4cc(O)cc(O)c4c3=O)C(O)C(O)C2O)C(O)C(O)C1O,strong,0.875,1.0,1,O=c1c(OC2CCCC(COC3CCCCO3)O2)c(-c2ccccc2)oc2ccccc12,4,0.8795051323147839,0.9069257698472176,1,0.9069257698472176
19,16,M00019,M00016,CC1OC(OCC2OC(Oc3c(-c4ccc(O)cc4)oc4cc(O)cc(O)c4c3=O)C(O)C(O)C2O)C(O)C(O)C1O,COc1cc(-c2oc3cc(O)cc(O)c3c(=O)c2OC2OC(COC3OC(C)C(O)C(O)C3O)C(O)C(O)C2O)ccc1O,strong,0.8235294117647058,0.9512195121951219,1,O=c1c(OC2CCCC(COC3CCCCO3)O2)c(-c2ccccc2)oc2ccccc12,4,0.8795051323147839,0.8638482949548216,2,0.8638482949548216
19,357,M00019,M00357,CC1OC(OCC2OC(Oc3c(-c4ccc(O)cc4)oc4cc(O)cc(O)c4c3=O)C(O)C(O)C2O)C(O)C(O)C1O,CC1OC(OCC2OC(Oc3c(-c4ccc(O)cc4)oc4cc(OC5OC(C)C(O)C(O)C5O)cc(O)c4c3=O)C(O)C(O)C2O)C(O)C(O)C1O,strong,0.8888888888888888,0.975,0,,0,0.0,0.7770833333333333,3,0.7770833333333333
19,326,M00019,M00326,CC1OC(OCC2OC(Oc3c(-c4ccc(O)cc4)oc4cc(O)cc(O)c4c3=O)C(O)C(O)C2O)C(O)C(O)C1O,O=c1c(OC2OC(COC3OCC(O)C(O)C3O)C(O)C(O)C2O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,medium,0.6805555555555556,0.9047619047619048,1,O=c1c(OC2CCCC(COC3CCCCO3)O2)c(-c2ccccc2)oc2ccccc12,4,0.8795051323147839,0.7664495793710271,1,0.7664495793710271
20,126,M00020,M00126,O=c1cc(-c2ccc(O)c(O)c2)oc2cc(OC3OC(CO)C(O)C(O)C3O)cc(O)c12,O=c1cc(-c2ccc(O)cc2)oc2cc(OC3OC(CO)C(O)C(O)C3O)cc(O)c12,strong,0.8518518518518519,0.9743589743589743,1,O=c1cc(-c2ccccc2)oc2cc(OC3CCCCO3)ccc12,4,0.8795051323147839,0.8866266245480723,1,0.8866266245480723
20,1148,M00020,M01148,O=c1cc(-c2ccc(O)c(O)c2)oc2cc(OC3OC(CO)C(O)C(O)C3O)cc(O)c12,O=c1c(O)c(-c2ccc(O)cc2)oc2cc(OC3OC(CO)C(O)C(O)C3O)cc(O)c12,medium,0.6451612903225806,1.0,1,O=c1cc(-c2ccccc2)oc2cc(OC3CCCCO3)ccc12,4,0.8795051323147839,0.769022544040766,1,0.769022544040766
21,1140,M00021,M01140,COC(=O)c1cc(O)c(O)c(O)c1,COC(=O)c1ccc(O)c(O)c1,medium,0.6296296296296297,0.92,1,c1ccccc1,802,0.21161295934610674,0.6395197216796937,1,0.6395197216796937
21,54,M00021,M00054,COC(=O)c1cc(O)c(O)c(O)c1,CCOC(=O)c1cc(O)c(O)c(O)c1,medium,0.6071428571428571,0.8275862068965517,1,c1ccccc1,802,0.21161295934610674,0.6029242099117682,2,0.6029242099117682
22,349,M00022,M00349,O=c1c(O)c(-c2cc(O)c(O)c(O)c2)oc2cc(O)cc(O)c12,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,medium,0.7567567567567568,1.0,1,O=c1cc(-c2ccccc2)oc2ccccc12,37,0.6127978022039184,0.7959737243846419,1,0.7959737243846419
22,244,M00022,M00244,O=c1c(O)c(-c2cc(O)c(O)c(O)c2)oc2cc(O)cc(O)c12,O=c1c(O)c(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,medium,0.75,0.9655172413793104,1,O=c1cc(-c2ccccc2)oc2ccccc12,37,0.6127978022039184,0.7832989806754154,2,0.7832989806754154
23,190,M00023,M00190,O=C1CC(c2ccc(O)cc2)Oc2cc(O)cc(O)c21,O=C1CC(c2ccc(O)c(O)c2)Oc2cc(O)cc(O)c21,medium,0.7948717948717948,0.9032258064516129,1,O=C1CC(c2ccccc2)Oc2ccccc21,16,0.7185751418868361,0.8105157998190056,1,0.8105157998190056
23,1242,M00023,M01242,O=C1CC(c2ccc(O)cc2)Oc2cc(O)cc(O)c21,COc1ccc(C2CC(=O)c3c(O)cc(O)cc3O2)cc1,medium,0.7619047619047619,0.9032258064516129,1,O=C1CC(c2ccccc2)Oc2ccccc21,16,0.7185751418868361,0.7907355800387857,2,0.7907355800387857
24,1197,M00024,M01197,O=C1CC(c2ccc(O)cc2)Oc2cc(OC3OC(CO)C(O)C(O)C3O)cc(O)c21,O=C1CC(c2ccc(O)cc2)Oc2cc(OC3OC(C(=O)O)C(O)C(O)C3O)cc(O)c21,medium,0.7333333333333333,0.85,1,O=C1CC(c2ccccc2)Oc2cc(OC3CCCCO3)ccc21,2,0.9466801716388252,0.7945020257458237,1,0.7945020257458237
25,1293,M00025,M01293,O=C(O)C=Cc1ccccc1O,O=C(O)C=Cc1ccc(O)cc1O,medium,0.6,0.8571428571428571,1,c1ccccc1,802,0.21161295934610674,0.6060276581876303,1,0.6060276581876303
26,50,M00026,M00050,COc1cc(-c2oc3cc(=O)cc4oc(O)cc(c2OC2OC(CO)C(O)C(O)C2O)c43)cc(OC)c1O,COc1cc(-c2oc3cc(=O)cc4oc(C)cc(c2OC2OC(CO)C(O)C(O)C2O)c43)cc(OC)c1O,strong,0.8524590163934426,0.9767441860465116,1,O=c1cc2occc3c(OC4CCCCO4)c(-c4ccccc4)oc(c1)c23,5,0.8555293230024756,0.8839908547980648,1,0.8839908547980648
26,73,M00026,M00073,COc1cc(-c2oc3cc(=O)cc4oc(O)cc(c2OC2OC(CO)C(O)C(O)C2O)c43)cc(OC)c1O,COc1cc(-c2oc3cc(=O)cc4oc(C(=O)O)cc(c2OC2OC(CO)C(O)C(O)C2O)c43)cc(OC)c1O,strong,0.8125,0.9767441860465116,1,O=c1cc2occc3c(OC4CCCCO4)c(-c4ccccc4)oc(c1)c23,5,0.8555293230024756,0.8600154449619992,2,0.8600154449619992
26,74,M00026,M00074,COc1cc(-c2oc3cc(=O)cc4oc(O)cc(c2OC2OC(CO)C(O)C(O)C2O)c43)cc(OC)c1O,COc1cc(-c2oc3cc(=O)cc4occc(c2OC2OC(CO)C(O)C(O)C2O)c43)cc(OC)c1O,medium,0.796875,1.0,1,O=c1cc2occc3c(OC4CCCCO4)c(-c4ccccc4)oc(c1)c23,5,0.8555293230024756,0.8564543984503712,1,0.8564543984503712
26,48,M00026,M00048,COc1cc(-c2oc3cc(=O)cc4oc(O)cc(c2OC2OC(CO)C(O)C(O)C2O)c43)cc(OC)c1O,COc1cc(-c2oc3cc(=O)cc4oc(O)c(C=[OH+])c(c2OC2OC(CO)C(O)C(O)C2O)c43)cc(OC)c1O,medium,0.6956521739130435,0.9545454545454546,1,O=c1cc2occc3c(OC4CCCCO4)c(-c4ccccc4)oc(c1)c23,5,0.8555293230024756,0.7843570664345609,2,0.7843570664345609
30,8,M00030,M00008,Oc1cc(O)cc(C=Cc2ccc(O)c(O)c2)c1,Oc1ccc(C=Cc2cc(O)cc(O)c2)cc1,medium,0.64,0.782608695652174,1,C(=Cc1ccccc1)c1ccccc1,9,0.7883542836784342,0.6979053164648086,1,0.6979053164648086
31,1146,M00031,M01146,Oc1cc(O)c2c(c1)OC(c1ccc(O)c(O)c1)C(O)C2c1c(O)cc(O)c2c1OC(c1ccc(O)c(O)c1)C(O)C2,Oc1cc(O)c2c(c1)OC(c1ccc(O)c(O)c1)C(O)C2c1c(O)cc(O)c2c1OC(c1ccc(O)c(O)c1)C(O)C2c1c(O)cc(O)c2c1OC(c1ccc(O)c(O)c1)C(O)C2,strong,0.9795918367346939,1.0,0,,0,0.0,0.8377551020408163,1,0.8377551020408163
32,8,M00032,M00008,COc1cc(C=Cc2ccc(O)cc2)cc(OC)c1,Oc1ccc(C=Cc2cc(O)cc(O)c2)cc1,medium,0.6296296296296297,0.7272727272727273,1,C(=Cc1ccccc1)c1ccccc1,9,0.7883542836784342,0.6778491021477248,1,0.6778491021477248
33,350,M00033,M00350,O=c1c(OC2OC(CO)C(O)C(O)C2O)c(-c2ccc(OC3OC(CO)C(O)C(O)C3O)c(O)c2)oc2cc(O)cc(O)c12,O=c1c(OC2OC(CO)C(O)C(O)C2O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,strong,0.8771929824561403,0.975,0,,0,0.0,0.7700657894736842,1,0.7700657894736842
33,35,M00033,M00035,O=c1c(OC2OC(CO)C(O)C(O)C2O)c(-c2ccc(OC3OC(CO)C(O)C(O)C3O)c(O)c2)oc2cc(O)cc(O)c12,O=c1c(O)c(-c2ccc(OC3OC(CO)C(O)C(O)C3O)c(O)c2)oc2cc(O)cc(O)c12,strong,0.8448275862068966,0.975,0,,0,0.0,0.750646551724138,2,0.750646551724138
33,18,M00033,M00018,O=c1c(OC2OC(CO)C(O)C(O)C2O)c(-c2ccc(OC3OC(CO)C(O)C(O)C3O)c(O)c2)oc2cc(O)cc(O)c12,O=c1c(OC2OC(CO)C(O)C(O)C2O)c(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,strong,0.8421052631578947,0.975,0,,0,0.0,0.7490131578947368,3,0.7490131578947368
34,245,M00034,M00245,O=C(O)C1OC(Oc2c(-c3ccc(O)c(O)c3)oc3cc(O)cc(O)c3c2=O)C(O)C(O)C1O,O=C(O)C1OC(Oc2c(-c3ccc(O)cc3)oc3cc(O)cc(O)c3c2=O)C(O)C(O)C1O,strong,0.8571428571428571,1.0,1,O=c1c(OC2CCCCO2)c(-c2ccccc2)oc2ccccc12,12,0.7538526280001345,0.8773636084857344,1,0.8773636084857344
34,352,M00034,M00352,O=C(O)C1OC(Oc2c(-c3ccc(O)c(O)c3)oc3cc(O)cc(O)c3c2=O)C(O)C(O)C1O,CC1OC(Oc2c(-c3ccc(O)c(O)c3)oc3cc(O)cc(O)c3c2=O)C(O)C(O)C1O,medium,0.7627118644067796,0.9411764705882353,1,O=c1c(OC2CCCCO2)c(-c2ccccc2)oc2ccccc12,12,0.7538526280001345,0.8059991304911467,1,0.8059991304911467
34,350,M00034,M00350,O=C(O)C1OC(Oc2c(-c3ccc(O)c(O)c3)oc3cc(O)cc(O)c3c2=O)C(O)C(O)C1O,O=c1c(OC2OC(CO)C(O)C(O)C2O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,medium,0.7377049180327869,0.8,1,O=c1c(OC2CCCCO2)c(-c2ccccc2)oc2ccccc12,12,0.7538526280001345,0.7557008450196923,2,0.7557008450196923
35,33,M00035,M00033,O=c1c(O)c(-c2ccc(OC3OC(CO)C(O)C(O)C3O)c(O)c2)oc2cc(O)cc(O)c12,O=c1c(OC2OC(CO)C(O)C(O)C2O)c(-c2ccc(OC3OC(CO)C(O)C(O)C3O)c(O)c2)oc2cc(O)cc(O)c12,strong,0.8448275862068966,0.975,0,,0,0.0,0.750646551724138,1,0.750646551724138
36,1301,M00036,M01301,O=c1c(OS(=O)(=O)O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,O=c1c(O)c(-c2cc(O)c(OS(=O)(=O)O)c(O)c2)oc2cc(O)cc(O)c12,medium,0.673469387755102,0.9791666666666666,1,O=c1cc(-c2ccccc2)oc2ccccc12,37,0.6127978022039184,0.7407929696503156,1,0.7407929696503156
36,1117,M00036,M01117,O=c1c(OS(=O)(=O)O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,O=c1c(O)c(-c2ccc(OS(=O)(=O)O)c(O)c2)oc2cc(O)cc(O)c12,medium,0.6666666666666666,0.9791666666666666,1,O=c1cc(-c2ccccc2)oc2ccccc12,37,0.6127978022039184,0.7367113369972544,2,0.7367113369972544
38,19,M00038,M00019,CC1OC(OCC2OC(Oc3c(-c4ccc(O)c(O)c4)oc4cc(O)cc(O)c4c3=O)C(O)C(O)C2O)C(O)C(O)C1O,CC1OC(OCC2OC(Oc3c(-c4ccc(O)cc4)oc4cc(O)cc(O)c4c3=O)C(O)C(O)C2O)C(O)C(O)C1O,strong,0.875,1.0,1,O=c1c(OC2CCCC(COC3CCCCO3)O2)c(-c2ccccc2)oc2ccccc12,4,0.8795051323147839,0.9069257698472176,1,0.9069257698472176
38,16,M00038,M00016,CC1OC(OCC2OC(Oc3c(-c4ccc(O)c(O)c4)oc4cc(O)cc(O)c4c3=O)C(O)C(O)C2O)C(O)C(O)C1O,COc1cc(-c2oc3cc(O)cc(O)c3c(=O)c2OC2OC(COC3OC(C)C(O)C(O)C3O)C(O)C(O)C2O)ccc1O,strong,0.8529411764705882,0.9512195121951219,1,O=c1c(OC2CCCC(COC3CCCCO3)O2)c(-c2ccccc2)oc2ccccc12,4,0.8795051323147839,0.881495353778351,2,0.881495353778351
38,1253,M00038,M01253,CC1OC(OCC2OC(Oc3c(-c4ccc(O)c(O)c4)oc4cc(O)cc(O)c4c3=O)C(O)C(O)C2O)C(O)C(O)C1O,CC1OC(OCC2OC(Oc3c(-c4ccc(O)c(O)c4)oc4cc(OC5OC(CO)C(O)C(O)C5O)cc(O)c4c3=O)C(O)C(O)C2O)C(O)C(O)C1O,strong,0.8405797101449275,0.9512195121951219,0,,0,0.0,0.742152704135737,3,0.742152704135737
