anchor_idx,positive_idx,anchor,positive,anchor_smiles,positive_smiles,type,morgan_similarity,maccs_similarity,same_scaffold,scaffold,scaffold_size,scaffold_specificity,relation_score,rank_within_type,contrastive_weight,pair_min,pair_max
2110,2098,M02110,M02098,CCCCCCCCCCCCCCCCCC[n+]1cccc(S(=O)(=O)[O-])c1,CCCCCC[n+]1cccc(S(=O)(=O)[O-])c1,strong,1.0,1.0,1,c1cc[nH+]cc1,25,0.6627017793637848,0.9494052669045677,1,0.9494052669045677,2098,2110
2109,2100,M02109,M02100,CCCCCCCCCCCCCCCCC[n+]1cccc(S(=O)(=O)[O-])c1,CCCCCCCC[n+]1cccc(S(=O)(=O)[O-])c1,strong,1.0,1.0,1,c1cc[nH+]cc1,25,0.6627017793637848,0.9494052669045677,3,0.9494052669045677,2100,2109
2109,2098,M02109,M02098,CCCCCCCCCCCCCCCCC[n+]1cccc(S(=O)(=O)[O-])c1,CCCCCC[n+]1cccc(S(=O)(=O)[O-])c1,strong,1.0,1.0,1,c1cc[nH+]cc1,25,0.6627017793637848,0.9494052669045677,1,0.9494052669045677,2098,2109
2106,2099,M02106,M02099,CCCCCCCCCCCCCC[n+]1cccc(S(=O)(=O)[O-])c1,CCCCCCC[n+]1cccc(S(=O)(=O)[O-])c1,strong,1.0,1.0,1,c1cc[nH+]cc1,25,0.6627017793637848,0.9494052669045677,2,0.9494052669045677,2099,2106
2106,2098,M02106,M02098,CCCCCCCCCCCCCC[n+]1cccc(S(=O)(=O)[O-])c1,CCCCCC[n+]1cccc(S(=O)(=O)[O-])c1,strong,1.0,1.0,1,c1cc[nH+]cc1,25,0.6627017793637848,0.9494052669045677,1,0.9494052669045677,2098,2106
2105,2100,M02105,M02100,CCCCCCCCCCCCC[n+]1cccc(S(=O)(=O)[O-])c1,CCCCCCCC[n+]1cccc(S(=O)(=O)[O-])c1,strong,1.0,1.0,1,c1cc[nH+]cc1,25,0.6627017793637848,0.9494052669045677,3,0.9494052669045677,2100,2105
2108,2100,M02108,M02100,CCCCCCCCCCCCCCCC[n+]1cccc(S(=O)(=O)[O-])c1,CCCCCCCC[n+]1cccc(S(=O)(=O)[O-])c1,strong,1.0,1.0,1,c1cc[nH+]cc1,25,0.6627017793637848,0.9494052669045677,3,0.9494052669045677,2100,2108
2108,2098,M02108,M02098,CCCCCCCCCCCCCCCC[n+]1cccc(S(=O)(=O)[O-])c1,CCCCCC[n+]1cccc(S(=O)(=O)[O-])c1,strong,1.0,1.0,1,c1cc[nH+]cc1,25,0.6627017793637848,0.9494052669045677,1,0.9494052669045677,2098,2108
2109,2099,M02109,M02099,CCCCCCCCCCCCCCCCC[n+]1cccc(S(=O)(=O)[O-])c1,CCCCCCC[n+]1cccc(S(=O)(=O)[O-])c1,strong,1.0,1.0,1,c1cc[nH+]cc1,25,0.6627017793637848,0.9494052669045677,2,0.9494052669045677,2099,2109
2105,2099,M02105,M02099,CCCCCCCCCCCCC[n+]1cccc(S(=O)(=O)[O-])c1,CCCCCCC[n+]1cccc(S(=O)(=O)[O-])c1,strong,1.0,1.0,1,c1cc[nH+]cc1,25,0.6627017793637848,0.9494052669045677,2,0.9494052669045677,2099,2105
2101,2100,M02101,M02100,CCCCCCCCC[n+]1cccc(S(=O)(=O)[O-])c1,CCCCCCCC[n+]1cccc(S(=O)(=O)[O-])c1,strong,1.0,1.0,1,c1cc[nH+]cc1,25,0.6627017793637848,0.9494052669045677,3,0.9494052669045677,2100,2101
2098,2099,M02098,M02099,CCCCCC[n+]1cccc(S(=O)(=O)[O-])c1,CCCCCCC[n+]1cccc(S(=O)(=O)[O-])c1,strong,1.0,1.0,1,c1cc[nH+]cc1,25,0.6627017793637848,0.9494052669045677,1,0.9494052669045677,2098,2099
2099,2100,M02099,M02100,CCCCCCC[n+]1cccc(S(=O)(=O)[O-])c1,CCCCCCCC[n+]1cccc(S(=O)(=O)[O-])c1,strong,1.0,1.0,1,c1cc[nH+]cc1,25,0.6627017793637848,0.9494052669045677,2,0.9494052669045677,2099,2100
2099,2101,M02099,M02101,CCCCCCC[n+]1cccc(S(=O)(=O)[O-])c1,CCCCCCCCC[n+]1cccc(S(=O)(=O)[O-])c1,strong,1.0,1.0,1,c1cc[nH+]cc1,25,0.6627017793637848,0.9494052669045677,3,0.9494052669045677,2099,2101
2100,2098,M02100,M02098,CCCCCCCC[n+]1cccc(S(=O)(=O)[O-])c1,CCCCCC[n+]1cccc(S(=O)(=O)[O-])c1,strong,1.0,1.0,1,c1cc[nH+]cc1,25,0.6627017793637848,0.9494052669045677,1,0.9494052669045677,2098,2100
2101,2098,M02101,M02098,CCCCCCCCC[n+]1cccc(S(=O)(=O)[O-])c1,CCCCCC[n+]1cccc(S(=O)(=O)[O-])c1,strong,1.0,1.0,1,c1cc[nH+]cc1,25,0.6627017793637848,0.9494052669045677,1,0.9494052669045677,2098,2101
2102,2098,M02102,M02098,CCCCCCCCCC[n+]1cccc(S(=O)(=O)[O-])c1,CCCCCC[n+]1cccc(S(=O)(=O)[O-])c1,strong,1.0,1.0,1,c1cc[nH+]cc1,25,0.6627017793637848,0.9494052669045677,1,0.9494052669045677,2098,2102
2105,2098,M02105,M02098,CCCCCCCCCCCCC[n+]1cccc(S(=O)(=O)[O-])c1,CCCCCC[n+]1cccc(S(=O)(=O)[O-])c1,strong,1.0,1.0,1,c1cc[nH+]cc1,25,0.6627017793637848,0.9494052669045677,1,0.9494052669045677,2098,2105
2102,2099,M02102,M02099,CCCCCCCCCC[n+]1cccc(S(=O)(=O)[O-])c1,CCCCCCC[n+]1cccc(S(=O)(=O)[O-])c1,strong,1.0,1.0,1,c1cc[nH+]cc1,25,0.6627017793637848,0.9494052669045677,2,0.9494052669045677,2099,2102
2102,2100,M02102,M02100,CCCCCCCCCC[n+]1cccc(S(=O)(=O)[O-])c1,CCCCCCCC[n+]1cccc(S(=O)(=O)[O-])c1,strong,1.0,1.0,1,c1cc[nH+]cc1,25,0.6627017793637848,0.9494052669045677,3,0.9494052669045677,2100,2102
2103,2098,M02103,M02098,CCCCCCCCCCC[n+]1cccc(S(=O)(=O)[O-])c1,CCCCCC[n+]1cccc(S(=O)(=O)[O-])c1,strong,1.0,1.0,1,c1cc[nH+]cc1,25,0.6627017793637848,0.9494052669045677,1,0.9494052669045677,2098,2103
2103,2099,M02103,M02099,CCCCCCCCCCC[n+]1cccc(S(=O)(=O)[O-])c1,CCCCCCC[n+]1cccc(S(=O)(=O)[O-])c1,strong,1.0,1.0,1,c1cc[nH+]cc1,25,0.6627017793637848,0.9494052669045677,2,0.9494052669045677,2099,2103
2103,2100,M02103,M02100,CCCCCCCCCCC[n+]1cccc(S(=O)(=O)[O-])c1,CCCCCCCC[n+]1cccc(S(=O)(=O)[O-])c1,strong,1.0,1.0,1,c1cc[nH+]cc1,25,0.6627017793637848,0.9494052669045677,3,0.9494052669045677,2100,2103
2104,2098,M02104,M02098,CCCCCCCCCCCC[n+]1cccc(S(=O)(=O)[O-])c1,CCCCCC[n+]1cccc(S(=O)(=O)[O-])c1,strong,1.0,1.0,1,c1cc[nH+]cc1,25,0.6627017793637848,0.9494052669045677,1,0.9494052669045677,2098,2104
2104,2099,M02104,M02099,CCCCCCCCCCCC[n+]1cccc(S(=O)(=O)[O-])c1,CCCCCCC[n+]1cccc(S(=O)(=O)[O-])c1,strong,1.0,1.0,1,c1cc[nH+]cc1,25,0.6627017793637848,0.9494052669045677,2,0.9494052669045677,2099,2104
2104,2100,M02104,M02100,CCCCCCCCCCCC[n+]1cccc(S(=O)(=O)[O-])c1,CCCCCCCC[n+]1cccc(S(=O)(=O)[O-])c1,strong,1.0,1.0,1,c1cc[nH+]cc1,25,0.6627017793637848,0.9494052669045677,3,0.9494052669045677,2100,2104
2110,2100,M02110,M02100,CCCCCCCCCCCCCCCCCC[n+]1cccc(S(=O)(=O)[O-])c1,CCCCCCCC[n+]1cccc(S(=O)(=O)[O-])c1,strong,1.0,1.0,1,c1cc[nH+]cc1,25,0.6627017793637848,0.9494052669045677,3,0.9494052669045677,2100,2110
2111,2098,M02111,M02098,CCCCCCCCCCCCCCCCCCC[n+]1cccc(S(=O)(=O)[O-])c1,CCCCCC[n+]1cccc(S(=O)(=O)[O-])c1,strong,1.0,1.0,1,c1cc[nH+]cc1,25,0.6627017793637848,0.9494052669045677,1,0.9494052669045677,2098,2111
2111,2099,M02111,M02099,CCCCCCCCCCCCCCCCCCC[n+]1cccc(S(=O)(=O)[O-])c1,CCCCCCC[n+]1cccc(S(=O)(=O)[O-])c1,strong,1.0,1.0,1,c1cc[nH+]cc1,25,0.6627017793637848,0.9494052669045677,2,0.9494052669045677,2099,2111
2112,2100,M02112,M02100,CCCCCCCCCCCCCCCCCCCC[n+]1cccc(S(=O)(=O)[O-])c1,CCCCCCCC[n+]1cccc(S(=O)(=O)[O-])c1,strong,1.0,1.0,1,c1cc[nH+]cc1,25,0.6627017793637848,0.9494052669045677,3,0.9494052669045677,2100,2112
2111,2100,M02111,M02100,CCCCCCCCCCCCCCCCCCC[n+]1cccc(S(=O)(=O)[O-])c1,CCCCCCCC[n+]1cccc(S(=O)(=O)[O-])c1,strong,1.0,1.0,1,c1cc[nH+]cc1,25,0.6627017793637848,0.9494052669045677,3,0.9494052669045677,2100,2111
2112,2098,M02112,M02098,CCCCCCCCCCCCCCCCCCCC[n+]1cccc(S(=O)(=O)[O-])c1,CCCCCC[n+]1cccc(S(=O)(=O)[O-])c1,strong,1.0,1.0,1,c1cc[nH+]cc1,25,0.6627017793637848,0.9494052669045677,1,0.9494052669045677,2098,2112
2112,2099,M02112,M02099,CCCCCCCCCCCCCCCCCCCC[n+]1cccc(S(=O)(=O)[O-])c1,CCCCCCC[n+]1cccc(S(=O)(=O)[O-])c1,strong,1.0,1.0,1,c1cc[nH+]cc1,25,0.6627017793637848,0.9494052669045677,2,0.9494052669045677,2099,2112
1613,1614,M01613,M01614,Nc1nc2c(ncn2C2CC(O)C(COP(=O)(O)OP(=O)(O)O)O2)c(=O)[nH]1,Nc1nc2c(ncn2C2CC(O)C(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O2)c(=O)[nH]1,strong,0.9824561403508771,1.0,1,O=c1[nH]cnc2c1ncn2C1CCCO1,16,0.7185751418868361,0.9472599554935517,1,0.9472599554935517,1613,1614
1618,1577,M01618,M01577,Nc1nc2c(ncn2C2OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C2O)c(=O)[nH]1,Nc1nc2c(ncn2C2OC(COP(=O)(O)OP(=O)(O)O)C(O)C2O)c(=O)[nH]1,strong,0.9821428571428571,1.0,1,O=c1[nH]cnc2c1ncn2C1CCCO1,16,0.7185751418868361,0.9470719855687396,1,0.9470719855687396,1577,1618
332,948,M00332,M00948,COc1cc(-c2[o+]c3cc(O)cc(O)c3cc2OC2OC(CO)C(O)C(O)C2O)cc(O)c1O,COc1cc(-c2[o+]c3cc(O)cc(O)c3cc2OC2OC(CO)C(O)C(O)C2O)cc(OC)c1O,strong,0.9622641509433962,0.9761904761904762,1,c1ccc(-c2[o+]c3ccccc3cc2OC2CCCCO2)cc1,8,0.802209494641301,0.9417375338098519,1,0.9417375338098519,332,948
3028,3027,M03028,M03027,COc1c(O)c(C(=O)C2CC=C(CCC=C(C)C)CC2c2ccccc2)c(OC)c(OC)c1OC,COc1c(O)c(OC)c(C(=O)C2CC=C(CCC=C(C)C)CC2c2ccccc2)c(O)c1OC,strong,0.9259259259259259,0.9736842105263158,1,O=C(c1ccccc1)C1CC=CCC1c1ccccc1,2,0.9466801716388252,0.9409786339329583,1,0.9409786339329583,3027,3028
3987,3986,M03987,M03986,CCCCCCCn1cc(C(=O)c2cccc3ccccc23)c2ccccc21,CCCCCCn1cc(C(=O)c2cccc3ccccc23)c2ccccc21,strong,1.0,1.0,1,O=C(c1cccc2ccccc12)c1c[nH]c2ccccc12,39,0.6060525864057348,0.9409078879608602,1,0.9409078879608602,3986,3987
1268,1270,M01268,M01270,O=C(O)C1OC(Oc2ccc3c(c2)oc(=O)c2cc(O)ccc23)C(O)C(O)C1O,O=C(O)C1OC(Oc2ccc3c(c2)oc(=O)c2ccc(O)cc23)C(O)C(O)C1O,strong,0.9183673469387755,1.0,1,O=c1oc2cc(OC3CCCCO3)ccc2c2ccccc12,3,0.9088491513636503,0.9373477808678128,1,0.9373477808678128,1268,1270
1533,1608,M01533,M01608,Nc1ncnc2c1ncn2C1OC(COP(=O)(O)OP(=O)(O)O)C(O)C1O,Nc1ncnc2c1ncn2C1OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C1O,strong,0.9807692307692307,1.0,1,c1ncc2ncn(C3CCCO3)c2n1,26,0.6577388176437765,0.9371223611081049,1,0.9371223611081049,1533,1608
3128,3116,M03128,M03116,COc1cc(CC(COC(C)=O)C(COC(=O)C=Cc2ccc(O)c(O)c2)Cc2ccc(O)c(OC)c2)ccc1O,COc1cc(C=CC(=O)OCC(Cc2ccc(O)c(OC)c2)C(COC(C)=O)Cc2ccc(O)c(OC)c2)ccc1O,strong,0.92,0.9714285714285714,1,O=C(C=Cc1ccccc1)OCC(CCc1ccccc1)Cc1ccccc1,2,0.9466801716388252,0.9368591686029667,1,0.9368591686029667,3116,3128
1535,1553,M01535,M01553,Nc1ccn(C2OC(COP(=O)(O)OP(=O)(O)O)C(O)C2O)c(=O)n1,Nc1ccn(C2OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C2O)c(=O)n1,strong,0.96,1.0,1,O=c1ncccn1C1CCCO1,15,0.7265474540909509,0.9349821181136426,1,0.9349821181136426,1535,1553
657,655,M00657,M00655,CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(N(C)C)C2O)C(C)(OC)CC(C)C(=O)C(C)C(O)C1(C)O,CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(N(C)C)C2O)C(C)(O)CC(C)C(=O)C(C)C(O)C1(C)O,strong,0.922077922077922,0.9811320754716981,1,O=C1CCCCOC(=O)CC(OC2CCCCO2)CC(OC2CCCCO2)CCC1,3,0.9088491513636503,0.9348571448192253,1,0.9348571448192253,655,657
3123,3105,M03123,M03105,CC1OC(OC2C(OC3CCC4(C)C(CCC5(C)C4CC=C4C6CC(C)(C)CCC6(C(=O)O)CCC45C)C3(C)C)OCC(OC3OC(CO)C(O)C(O)C3O)C2O)C(O)C(OC2OCC(O)C(O)C2O)C1O,CC1OC(OC2C(OC3CCC4(C)C(CCC5(C)C4CC=C4C6CC(C)(C)CCC6(C(=O)O)CCC45C)C3(C)CO)OCC(OC3OC(CO)C(O)C(O)C3O)C2O)C(O)C(OC2OCC(O)C(O)C2O)C1O,strong,0.8936170212765957,1.0,1,C1=C2C3CCCCC3CCC2C2CCC3CC(OC4OCC(OC5CCCCO5)CC4OC4CC(OC5CCCCO5)CCO4)CCC3C2C1,2,0.9466801716388252,0.9281722385117812,1,0.9281722385117812,3105,3123
3337,3334,M03337,M03334,CCCc1nn(C)c2c(=O)[nH]c(-c3cc(C(=O)CN4CCN(C)CC4)ccc3OCC)nc12,CCCc1nn(C)c2c(=O)[nH]c(-c3cc(C(=O)CN4CCN(CC)CC4)ccc3OCC)nc12,strong,0.9090909090909091,1.0,1,O=C(CN1CCNCC1)c1cccc(-c2nc3cn[nH]c3c(=O)[nH]2)c1,4,0.8795051323147839,0.927380315301763,1,0.927380315301763,3334,3337
2097,2098,M02097,M02098,CCCCC[n+]1cccc(S(=O)(=O)[O-])c1,CCCCCC[n+]1cccc(S(=O)(=O)[O-])c1,strong,0.96875,0.9803921568627451,1,c1cc[nH+]cc1,25,0.6627017793637848,0.925753306120254,1,0.925753306120254,2097,2098
2097,2100,M02097,M02100,CCCCC[n+]1cccc(S(=O)(=O)[O-])c1,CCCCCCCC[n+]1cccc(S(=O)(=O)[O-])c1,strong,0.96875,0.9803921568627451,1,c1cc[nH+]cc1,25,0.6627017793637848,0.925753306120254,3,0.925753306120254,2097,2100
2097,2099,M02097,M02099,CCCCC[n+]1cccc(S(=O)(=O)[O-])c1,CCCCCCC[n+]1cccc(S(=O)(=O)[O-])c1,strong,0.96875,0.9803921568627451,1,c1cc[nH+]cc1,25,0.6627017793637848,0.925753306120254,2,0.925753306120254,2097,2099
564,565,M00564,M00565,COc1cc(C=CC(=O)OC2COC(OC3C(c4c(O)cc5oc(-c6ccc(O)cc6)cc(=O)c5c4O)OC(CO)C(O)C3O)C(O)C2O)cc(OC)c1O,COc1cc(-c2cc(=O)c3c(O)c(C4OC(CO)C(O)C(O)C4OC4OCC(OC(=O)C=Cc5cc(OC)c(O)c(OC)c5)C(O)C4O)c(O)cc3o2)ccc1O,strong,0.896551724137931,0.9782608695652174,1,O=C(C=Cc1ccccc1)OC1CCC(OC2CCCOC2c2ccc3oc(-c4ccccc4)cc(=O)c3c2)OC1,2,0.9466801716388252,0.9244982776198867,1,0.9244982776198867,564,565
3971,2067,M03971,M02067,COC1CC(OC2C(C)OC(OC3C(C)=CCC4CC(CC5(CCC(C)C(C(C)C)O5)O4)OC(=O)C4C=C(C)C(O)C5OCC(=CC=CC3C)C45O)CC2OC)OC(C)C1O,CCC(C)C1OC2(CCC1C)CC1CC(CC=C(C)C(OC3CC(OC)C(OC4CC(OC)C(O)C(C)O4)C(C)O3)C(C)C=CC=C3COC4C(O)C(C)=CC(C(=O)O1)C34O)O2,strong,0.9108910891089109,0.9433962264150944,1,O=C1OC2CC(CC=CC(OC3CCC(OC4CCCCO4)CO3)CC=CC=C3COC4CC=CC1C34)OC1(CCCCO1)C2,2,0.9466801716388252,0.924385735814944,1,0.924385735814944,2067,3971
